Flood Forecast Log Sheet - 2020 (FFWC),,,,,,,,
Date,Observed Water Level Today,Forecast Water Level Next 5 days,"Danger Level
(mPWD)","FbF Danger Level
(mPWD)","Recorded Highest Water Level
(mPWD)",Station & River Name,Notification,Team
25/06/2020 09:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
25/06/2020 12:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
25/06/2020 15:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
25/06/2020 18:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
26/06/2020 06:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
26/06/2020 09:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
26/06/2020 12:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
26/06/2020 15:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
26/06/2020 18:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
27/06/2020 06:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
27/06/2020 09:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
27/06/2020 12:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
27/06/2020 15:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
27/06/2020 18:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
28/06/2020 06:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
28/06/2020 09:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
28/06/2020 12:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
28/06/2020 15:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
28/06/2020 18:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
29/06/2020 06:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
29/06/2020 09:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
29/06/2020 12:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
29/06/2020 15:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
29/06/2020 18:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
30/06/2020 06:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
30/06/2020 09:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
30/06/2020 12:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
30/06/2020 15:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
30/06/2020 18:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
01/07/2020 06:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
01/07/2020 09:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
01/07/2020 12:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
01/07/2020 15:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
01/07/2020 18:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
02/07/2020 06:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
02/07/2020 09:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
02/07/2020 12:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
02/07/2020 15:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
02/07/2020 18:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
03/07/2020 06:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
03/07/2020 09:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
03/07/2020 12:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
03/07/2020 15:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
03/07/2020 18:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
04/07/2020 06:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
04/07/2020 09:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
04/07/2020 12:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
04/07/2020 15:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
04/07/2020 18:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
05/07/2020 06:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
05/07/2020 09:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
05/07/2020 12:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
05/07/2020 15:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
05/07/2020 18:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
06/07/2020 06:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
06/07/2020 09:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
06/07/2020 12:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
06/07/2020 15:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
06/07/2020 18:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
07/07/2020 06:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
07/07/2020 09:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
07/07/2020 12:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
07/07/2020 15:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
07/07/2020 18:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
08/07/2020 06:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
08/07/2020 09:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
08/07/2020 12:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
08/07/2020 15:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
08/07/2020 18:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
09/07/2020 06:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
09/07/2020 09:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
09/07/2020 12:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
09/07/2020 15:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
09/07/2020 18:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
10/07/2020 06:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
10/07/2020 09:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
10/07/2020 12:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
10/07/2020 15:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
10/07/2020 18:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
11/07/2020 06:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
11/07/2020 09:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
11/07/2020 12:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
11/07/2020 15:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
